GLNumber,GLName,GLGroup,GLCategoryMFC,GLCategoryHQ,Signage,,
63304002,Utilities: Water,Utilities and Facilities,,,,"58,884 ",- 
63304003,Utilities: Gas,Utilities and Facilities,,,,"(49,792) ",- 
63304004,Utilities: Electricity,Utilities and Facilities,,,,"1,140,161 ","18,691 "
63304005,Utilities: Cleaning service,Utilities and Facilities,,,,- ,- 
63304006,Utilities: PHS,Utilities and Facilities,,,,"18,328 ",- 
63305001,Repairs and Maintenance,Other MFC Opex,,,,"491,854 ","(74,076) "
63305002,Repair & Maint: AC Service,Other MFC Opex,,,,- ,- 
63305003,Repair & Maint: Refrigeration,Other MFC Opex,,,,- ,- 
63305004,Repair & Maint: EICR,Other MFC Opex,,,,- ,- 
63305005,Repair & Maint: Emergency Light Testing,Other MFC Opex,,,,- ,- 
63305006,Repair & Maint: PAT,Other MFC Opex,,,,- ,- 
63305007,Repair & Maint: Gas Boilers,Other MFC Opex,,,,- ,- 
63305008,Repair & Maint: Roller Doors,Other MFC Opex,,,,- ,- 
63305009,Repair & Maint: Auto Doors,Other MFC Opex,,,,- ,- 
63305010,Repair & Maint: Water Risk Assessments,Other MFC Opex,,,,- ,- 
63305011,Repair & Maint: Reactive Repair Works,Other MFC Opex,,,,"(68,179) ","8,045 "
63305012,Repair & Maint: Asbestos Inspection,Other MFC Opex,,,,- ,- 
63305013,Repair & Maint: Sensors,Other MFC Opex,,,,- ,- 
63306001,Storage Expenses,Other MFC Opex,,,,- ,- 
63309001,Leasehold Expenses,Other MFC Opex,,,,"28,516 ",500 
63404001,Insurance Expense - Miscellaneous,Insurance,,,,"449,313 ","83,066 "
63404002,Bike insurance,Insurance,,,,- ,- 
63404003,Owned bike Insurance,Insurance,,,,- ,- 
63404004,Moped Insurance,Insurance,,,,- ,- 
63501001,Adv & Promo: Paid Digital,Advertising & Promotion,,,,- ,- 
63502001,Brand Ambassador Program,Advertising & Promotion,,,,- ,- 
63503001,Adv &Promo: Ground & Events,Advertising & Promotion,,,,- ,- 
63506001,Adv & Promo: Brand,Advertising & Promotion,,,,"15,034 ","5,846,405 "
63508001,Adv & Promo: Marketing Tools & Services,Advertising & Promotion,,,,- ,"1,635 "
63511001,Adv & Promo: Partnerships,Advertising & Promotion,,,,"22,310 ",- 
63513001,Adv & Promo: Europe Marketing,Advertising & Promotion,,,,- ,- 
63601001,Prof Services: Accounting Fees,Other Corp SG&A,,,,- ,"15,759 "
63601301,Audit Fees,Other Corp SG&A,,,,- ,"63,880 "
63602001,Prof Services: Consulting Fees,Other Corp SG&A,,,,"38,044 ","159,385 "
63603001,Prof Services: Legal Fees,Other Corp SG&A,,,,"69,730 ","199,168 "
63605001,Prof Services: Recruiter,Other Corp SG&A,,,,- ,- 
63606001,Prof Services: Real Estate Agent,Other Corp SG&A,,,,"33,427 ","10,832 "
63611001,Prof Services: Recruitment Expenses,Other Corp SG&A,,,,"6,511 ","98,951 "
63699001,Prof Services: Other,Other Corp SG&A,,,,500 ,"192,275 "
63801001,Office Supplies & Expenses,Other MFC Opex,,,,630 ,740 
63801001,Office/MFC Relocation,Other MFC Opex,,,,630 ,740 
63801002,Stationary,Other Corp SG&A,,,,- ,51 
63802001,Dues & Subscription,Other Corp SG&A,,,,- ,"(1,000) "
63803001,Licenses Taxes & Fees,Other MFC Opex,,,,"22,375 ",120 
63805001,Liquor Licenses Fee Expense,Other MFC Opex,,,,- ,- 
64002001,Technology Software,Other Corp SG&A,,,,"9,767 ","231,513 "
64003001,Computer and Internet Expenses,Other Corp SG&A,,,,71 ,"1,215 "
64003001,Hardware,Other Corp SG&A,,,,71 ,"1,215 "
64003002,Computer and Internet Expenses: Primary,Other Corp SG&A,,,,- ,- 
64003003,Computer and Internet Expenses: Secondary,Other Corp SG&A,,,,- ,- 
64005001,Telecom & Phone Expense,Other MFC Opex,,,,223 ,- 
64101001,Credit Card Processing Fees,Credit Card Processing Fees,COGS,na,-1,"634,126 ",- 
64102001,Merchant Account Fees,Other Corp SG&A,,,,- ,- 
64104001,Bad Debt,Other Corp SG&A,,,,"8,520 ","(10,200) "
64105001,Bank Service Charges,Other Corp SG&A,,,,40 ,"42,101 "
65001001,Travel Expense,Other Corp SG&A,,,,"12,801 ","8,634 "
65001002,Travel: International,Other Corp SG&A,,,,- ,"6,049 "
65001003,Travel: Entertainment 0%,Other Corp SG&A,,,,- ,- 
65002001,Meals and Entertainment,Other Corp SG&A,,,,"1,215 ","7,879 "
65003001,T&E: Automobile Expense,Other Corp SG&A,,,,649 ,145 
65004001,Lodging,Other Corp SG&A,,,,"5,100 ","12,262 "
65005001,Transportation,Other Corp SG&A,,,,"15,830 ","15,380 "
65099001,Travel & Entertainment - Other,Other Corp SG&A,,,,- ,- 
65101001,Training/Education and Se,Other MFC Opex,,,,(0) ,- 
66002001,Property Tax,MFC Rent,,,,- ,- 
66007001,Stamp & Duty Taxes,Other MFC Opex,,,,"3,258 ",- 
67002001,HR fees,Other Corp SG&A,,,,- ,- 
67006001,Realized Currency Gains/Losses,Other Corp SG&A,,,,(95) ,"(1,561) "
67006302,Realized Currency Losses,Other Corp SG&A,,,,- ,272 
67006303,Realized Currency Gains,Other Corp SG&A,,,,- ,85 
67011001,Acquisition and Transactions Expense,Any other one-time costs,,,,- ,- 
70006001,Tips Revenue,Driver Earnings,VFC,na,-1,"236,200 ",- 
70009001,Proceeds of Sale Gain/Loss,Lease Adj Gains/Losses,,,,"3,996 ","52,969 "
70011001,Loss on Asset Write Down,Lease Adj Gains/Losses,,,,"287,884 ","45,589 "
70015001,Intercompany Services - Income,Intercompany,,,,- ,"72,076 "
70099001,Other Income,Other Income,,,,"2,524 ",- 
70004001,Sublease Income,Other Income,,,,"6,000 ",- 
80003001,Penalties & Fines,Other MFC Opex,,,,500 ,"2,141 "
80004001,Test Orders,Other Corp SG&A,,,,269 ,"1,155 "
80005001,General Expense,Other Expense,,,,- ,- 
80008001,Intercompany Services - Expense,Intercompany,,,,- ,"(1,580,441) "
80099001,Other Expense,Other Expense,,,,- ,(2) 
81004001,Intercompany Interest Expense,Intercompany,,,,- ,"4,420,849 "
81006001,Intercompany Expense,Intercompany,,,,- ,- 
81099001,Interest Expense - Miscellaneous,Other Expense,,,,- ,"2,859 "
